"region_32_code","ctry_code","region","ctry_name"
13,132,"EU-15","Greece"
13,153,"EU-15","Finland"
4,202,"Africa_Southern","Botswana"
15,124,"Europe_Non_EU","Macedonia"
12,157,"EU-12","Romania"
12,155,"EU-12","Lithuania"
12,154,"EU-12","Latvia"
12,152,"EU-12","Estonia"
4,207,"Africa_Southern","Zambia"
2,95,"Africa_Eastern","Sudan"
12,128,"EU-12","Bulgaria"
14,158,"Europe_Eastern","Ukraine"
14,151,"Europe_Eastern","Belarus"
3,130,"Africa_Northern","Egypt"
4,208,"Africa_Southern","Zimbabwe"
15,135,"Europe_Non_EU","Turkey"
4,221,"Africa_Southern","Lesotho"
14,156,"Europe_Eastern","Moldova"
2,203,"Africa_Eastern","Burundi"
2,205,"Africa_Eastern","Rwanda"
4,206,"Africa_Southern","Tanzania"
2,96,"Africa_Eastern","Uganda"
4,216,"Africa_Southern","Mozambique"
4,225,"Africa_Southern","Swaziland"
12,129,"EU-12","Cyprus"
4,215,"Africa_Southern","Malawi"
2,94,"Africa_Eastern","Ethiopia"
2,204,"Africa_Eastern","Kenya"
21,97,"Middle East","Gaza Strip"
21,99,"Middle East","Israel"
21,173,"Middle East","Saudi Arabia"
21,100,"Middle East","Jordan"
21,105,"Middle East","West Bank"
21,133,"Middle East","Lebanon"
21,134,"Middle East","Syria"
2,93,"Africa_Eastern","Eritrea"
21,98,"Middle East","Iraq"
2,212,"Africa_Eastern","French Southern & Antarctic Lands"
10,131,"Central Asia","Georgia"
2,162,"Africa_Eastern","Somalia"
2,92,"Africa_Eastern","Djibouti"
21,166,"Middle East","Yemen"
2,214,"Africa_Eastern","Juan De Nova I."
2,228,"Africa_Eastern","Madagascar"
2,211,"Africa_Eastern","Comoros"
10,167,"Central Asia","Armenia"
21,170,"Middle East","Iran"
29,230,"Southeast Asia","Mayotte"
10,168,"Central Asia","Azerbaijan"
29,232,"Southeast Asia","Seychelles"
21,171,"Middle East","Kuwait"
2,227,"Africa_Eastern","Glorioso Is."
10,101,"Central Asia","Kazakhstan"
21,172,"Middle East","Qatar"
21,169,"Middle East","Bahrain"
21,174,"Middle East","United Arab Emirates"
21,161,"Middle East","Oman"
10,164,"Central Asia","Turkmenistan"
2,231,"Africa_Eastern","Reunion"
10,165,"Central Asia","Uzbekistan"
2,229,"Africa_Eastern","Mauritius"
27,175,"South Asia","Afghanistan"
22,178,"Pakistan","Pakistan"
10,179,"Central Asia","Tajikistan"
17,159,"India","India"
10,176,"Central Asia","Kyrgyzstan"
27,226,"South Asia","British Indian Ocean Territory"
6,213,"Australia_NZ","Heard I. & McDonald Is."
27,160,"South Asia","Maldives"
11,183,"China","China"
27,163,"South Asia","Sri Lanka"
27,177,"South Asia","Nepal"
27,180,"South Asia","Bangladesh"
10,184,"Central Asia","Mongolia"
27,181,"South Asia","Bhutan"
29,190,"Southeast Asia","Myanmar"
18,236,"Indonesia","Indonesia"
29,235,"Southeast Asia","Cocos Is."
29,194,"Southeast Asia","Thailand"
29,189,"Southeast Asia","Malaysia"
29,188,"Southeast Asia","Laos"
29,187,"Southeast Asia","Cambodia"
29,195,"Southeast Asia","Vietnam"
29,192,"Southeast Asia","Singapore"
29,234,"Southeast Asia","Christmas I."
6,233,"Australia_NZ","Australia"
29,182,"Southeast Asia","Brunei"
29,186,"Southeast Asia","Philippines"
30,183,"Taiwan","China"
19,197,"Japan","Japan"
29,237,"Southeast Asia","Timor-Leste"
29,191,"Southeast Asia","North Korea"
28,193,"South Korea","South Korea"
29,185,"Southeast Asia","Palau"
29,199,"Southeast Asia","Micronesia"
29,242,"Southeast Asia","Papua New Guinea"
29,196,"Southeast Asia","Guam"
29,200,"Southeast Asia","Northern Mariana Is."
29,243,"Southeast Asia","Solomon Is."
29,198,"Southeast Asia","Marshall Is."
29,240,"Southeast Asia","New Caledonia"
29,245,"Southeast Asia","Vanuatu"
29,239,"Southeast Asia","Nauru"
29,201,"Southeast Asia","Wake I."
29,241,"Southeast Asia","Norfolk I."
29,244,"Southeast Asia","Tuvalu"
